epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.576773,0.3948,0.1997,improved_last_linear_decay,0.4459,0.2238
5,0.521076,0.4048,0.2049,improved_last_linear_decay,0.4459,0.2238
7,0.486294,0.4031,0.2045,improved_last_linear_decay,0.4459,0.2238
10,0.454902,0.407,0.2072,improved_last_linear_decay,0.4459,0.2238
13,0.436366,0.4067,0.2067,improved_last_linear_decay,0.4459,0.2238
15,0.427897,0.4052,0.2076,improved_last_linear_decay,0.4459,0.2238
17,0.421472,0.4092,0.2106,improved_last_linear_decay,0.4459,0.2238
20,0.414396,0.4149,0.2156,improved_last_linear_decay,0.4459,0.2238
23,0.409351,0.417,0.2177,improved_last_linear_decay,0.4459,0.2238
25,0.406724,0.4216,0.2196,improved_last_linear_decay,0.4459,0.2238
27,0.404527,0.4265,0.2217,improved_last_linear_decay,0.4459,0.2238
30,0.401587,0.4266,0.2211,improved_last_linear_decay,0.4459,0.2238
33,0.399201,0.4321,0.2217,improved_last_linear_decay,0.4459,0.2238
35,0.397562,0.436,0.2237,improved_last_linear_decay,0.4459,0.2238
37,0.396164,0.4385,0.2233,improved_last_linear_decay,0.4459,0.2238
40,0.394228,0.4436,0.2246,improved_last_linear_decay,0.4459,0.2238
43,0.392511,0.444,0.2239,improved_last_linear_decay,0.4459,0.2238
45,0.391452,0.4451,0.2248,improved_last_linear_decay,0.4459,0.2238
47,0.390624,0.4415,0.2233,improved_last_linear_decay,0.4459,0.2238
50,0.389121,0.4459,0.2238,improved_last_linear_decay,0.4459,0.2238
